Name,Temp_1,Temp_2,Temp_3,Temp_4
Tithonia diversifolia,15,31,12,38
Toona australis,18,28,8,36
Trema orientalis,15,27,8,34
Mentha piperita,15,25,4,35
Trichosanthes cucumerina,22,35,14,38
Trifolium pratense,18,25,4,40
Trifolium repens,14,22,4,26
Trifolium semipilosum,16,27,5,32
Trifolium usambarense,15,28,12,32
Triticum aestivum,15,23,5,27
Ullucus tuberosus,12,20,5,28
Urena lobata,21,27,18,32
Vanilla planifolia,21,30,10,33
Vetiveria zizanioides,22,35,12,45
Vicia faba,18,28,5,32
Vigna angularis,15,30,5,36
Vigna mungo,22,35,8,40
Vigna radiata,21,36,8,40
Vigna umbellata,18,30,10,40
Vigna unguiculata,25,35,15,40
Vitis vinifera,18,30,10,38
Xanthosoma sagittifolium,20,28,10,35
Zea mays,18,33,10,47
Zingiber officinale,19,29,13,35
Amaranthus caudatus,21,28,7,40
Amaranthus dubius,22,30,12,45
Amaranthus lividus,21,27,18,32
Amaranthus tricolor,22,30,8,45
Anethum graveolens,15,18,6,26
Annona cherimola,17,25,7,32
Annona diversifolia,20,26,16,31
Annona purpurea,22,30,17,35
Antidesma bunius,23,27,17,33
Arachis hypogaea,22,32,10,45
Blighia sapida,24,27,20,34
Brassica oleracea var. gongyloides,12,18,5,25
Canavalia gladiata,15,30,12,36
Canna edulis,20,30,9,32
Carya illinoensis,15,35,5,40
Castanea sativa,15,25,7,30
Castanospermum australe,20,32,10,41
Citrus aurantifolia,26,32,13,38
Corylus avellana,10,24,5,35
Diospyros digyna,20,27,12,34
Syzygium javanicum,23,28,16,33
Fagopyrum esculentum,17,27,7,40
Flacourtia indica,22,40,10,48
Fortunella margarita,26,37,12,40
Fragaria vesca,12,20,5,28
Garcinia dulcis,22,30,16,38
Bactris gasipaes,18,28,12,35
Juglans regia,15,30,7,40
Lansium domesticum,20,35,12,40
Manilkara achras,20,34,11,42
Maranta arundinacea,23,29,17,34
Melissa officinalis,14,25,6,30
Monochoria hastata,25,35,16,38
Moringa oleifera,20,35,7,48
Morus nigra,15,25,10,38
Mucuna pruriens var utilis,20,30,10,35
Nasturtium schlechteri,15,28,10,35
Nelumbo nucifera,25,30,10,40
Nephelium mutabile,26,32,18,38
Ocimum americanum,22,30,10,35
Oenanthe javanica,10,30,4,32
Origanum majorana,20,26,10,30
Origanum vulgare,17,28,4,32
Oxalis tuberosa,12,24,5,28
Parinari nonda,26,37,14,42
Passiflora ligularis,22,26,16,31
Pistacia vera,25,35,12,40
Polyscias verticillata,22,34,14,38
Pouteria campechiana,20,26,16,30
Prunus amygdalus,12,35,10,40
Prunus armeniaca,14,35,7,40
Rungia klossii,12,17,12,29
Salvia officinalis,15,26,5,30
Sambucus nigra,12,22,5,30
Sterculia foetida,18,32,16,36
Talinum triangulare,22,30,15,36
Thymus vulgaris,16,25,4,30
Tragopogon porrifolius,13,19,2,24
Tropaeolum tuberosum,12,20,4,24
Ximenia americana,14,30,10,36
Rheum rhaponticum,15,24,5,30
Eugenia aromatica,24,34,20,38
Annona cherimola x Annona squamosa,24,28,12,32
Pangium edule,22,28,18,32
Brosimum alicastrum,18,25,12,35
Beta vulgaris var. cicla,15,25,5,35
Luffa cylindrica,23,27,10,38
Cicer arietinum,15,29,7,35
Musa sp.,22,32,13,38
Alocasia macrorrhizos,20,25,10,32
Eleocharis dulcis,23,29,15,34
Bruguiera gymnorrhiza,20,26,15,30
Avicennia officinalis,25,34,15,38
Musa balbisiana,23,28,16,38
Coffea excelsa,13,26,9,32
Chenopodium quinoa,14,18,2,35
Carthamus tinctorius,20,32,5,45
Phaseolus acutifolius,20,30,8,38
Lupinus angustifolius,12,18,4,26
Vigna aconitifolia,24,32,13,45
Phaseolus polyanthus,14,24,10,28
Indigofera hirsuta,22,30,13,34
Solanum muricatum,15,25,10,30
Agropyron intermedium,15,20,5,36
Pinus palustris,22,31,10,35
Pinus pinaster,18,30,6,34
Pinus ponderosa,15,24,4,28
Abies balsamea,10,18,4,26
Abies concolor,10,18,5,22
Abies pindrow,16,24,2,32
Abroma augustum,26,31,18,36
Acacia acradenia,24,34,8,42
Acacia acuminata,17,28,6,38
Acacia ammobia,24,36,10,43
Acacia ampliceps,14,36,5,46
Acacia ancistrocarpa,22,34,10,46
Acacia aneura,20,34,8,46
Acacia anticeps,18,28,8,36
Acacia argyrodendron,22,32,10,40
Acacia ataxacantha,22,35,10,45
Acacia aulacocarpa,18,32,12,43
Acacia bidwillii,22,32,10,40
Acacia brachystachya,20,40,4,58
Acacia brassii,22,30,12,38
Acacia burrowii,18,30,8,40
Acacia calcicola,22,32,8,42
Acacia cambagei,20,30,5,40
Acacia catechu,25,35,7,48
Acacia cincinnata,22,32,10,39
Acacia coriacea,24,32,10,43
Acacia cowleana,24,35,12,45
Acacia crassicarpa,24,32,15,39
Acacia cyclops,18,26,5,35
Acacia dealbata,15,26,6,32
Acacia dictyophleba,22,30,8,38
Acacia difficilis,22,35,13,42
Acacia erioloba,15,35,10,45
Acacia falciformis,18,32,7,40
Acacia fasciculifera,18,32,10,40
Acacia flavescens,22,34,11,38
Acacia glaucocaesia,14,30,5,36
Acacia glaucocarpa,18,35,8,40
Acacia harpophylla,18,28,7,40
Acacia irrorata,18,32,10,39
Acacia jennerae,12,30,5,36
Acacia jensenii,12,30,5,36
Acacia julifera ssp. gilbertensis,24,35,12,41
Acacia julifera ssp. julifera,20,32,10,38
Acacia karroo,19,33,12,40
Acacia laeta,24,32,14,45
Acacia latzii,22,35,10,44
Acacia leptocarpa,22,33,10,39
Acacia leucophloea,22,32,12,38
Acacia ligulata,18,33,8,42
Acacia macdonnelliensis,24,33,8,42
Acacia maconochieana,24,36,10,42
Acacia maidenii,17,32,10,38
Acacia mangium,22,34,12,38
Acacia mearnsii,18,30,5,35
Acacia melanoxylon,18,22,4,30
Acacia millifera,22,32,12,40
Acacia monticola,20,32,12,42
Acacia murrayana,12,34,5,42
Acacia neriifolia,22,32,8,39
Acacia nilotica,19,34,10,50
Acacia oraria,22,32,14,38
Acacia pachyacra,12,30,5,38
Acacia parchcarpa,25,37,10,45
Acacia pendula,20,30,4,34
Acacia plectocarpa,22,35,12,44
Acacia podalyriifolia,18,32,10,40
Acacia polystachya,24,32,15,38
Acacia pruinocarpa,22,35,8,43
Acacia pycnantha,20,28,5,35
Acacia rothii,24,34,15,40
Acacia salicina,24,30,6,36
Acacia saligna,20,32,5,36
Acacia senegal,24,32,14,48
Acacia seyal,24,32,15,45
Acacia shirleyi,18,36,10,43
Acacia silvestris,15,25,8,33
Acacia simsii,22,32,10,40
Acacia stenophylla,18,32,5,42
Acacia synchronicia,18,28,5,36
Acacia tephrina,22,38,10,43
Acacia tortilis,28,45,10,50
Acacia torulosa,22,36,12,43
Acacia trachycarpa,22,32,8,45
Acacia tumida,22,36,12,42
Acacia victoriae,12,32,5,38
Acacia xiphohylla,24,36,12,45
Acanthosicyos naudinianus,15,30,12,32
Acanthus ilicifolius,18,26,15,32
Acanthus mollis,15,30,10,38
Acca sellowiana,18,21,12,28
Acehmea magdalenae,24,30,12,36
Acer caesium,15,21,7,30
Acer saccharum,14,24,4,28
Achnatherum splendens,8,15,3,20
Acmena smithii,18,28,8,36
Acorus calamus,18,26,4,30
Acrocarpus fraxinifolius,28,35,12,38
Acroceras macrum,16,26,12,30
Acrocomia aculeata,25,35,20,45
Acrocomia totai,22,28,18,34
Actinidia arguta,12,25,5,30
Adansonia digitata,26,36,14,42
Adansonia grandidieri,22,30,8,35
Adansonia gregorii,24,34,13,42
Adina cordifolia,25,35,5,47
Adonis vernalis,14,30,10,36
Aegiceras corniculatum,18,26,7,35
Aegle marmelos,30,42,5,49
Aeschynomene falcata,20,25,5,35
Aeschynomene indica,18,30,10,35
Aesculus indica,23,26,6,30
Aframomum corrorima,16,24,7,35
Aframomum melegueta,21,28,10,34
Afzelia africana,20,32,10,40
Afzelia quanzensis,18,28,14,36
Agathis dammara,28,34,12,38
Agathis labillardieri,24,32,12,40
Agathis microstachya,22,30,10,36
Agave cantala,17,30,10,38
Agave fourcroydes,15,30,10,40
Agave lecheguilla,15,25,10,30
Agropyron cristatum,15,25,5,45
Agropyron dasystachyum,15,25,2,35
Agropyron desertorum,15,20,5,45
Agropyron elongatum,12,20,2,25
Agropyron mongolicum,12,20,3,45
Agropyron repens,10,20,4,45
Agropyron riparium,10,18,2,32
Agropyron sibiricum,15,20,5,45
Agropyron smithii,7,20,2,45
Agropyron spicatum,12,20,2,24
Agropyron tauri,15,20,5,25
Agropyron trachycaulum,13,22,3,26
Agropyron trichophorum,15,20,5,25
Agrostis canina,9,20,2,45
Agrostis gigantea,12,21,2,32
Agrostis tenuis,10,20,3,45
Agrostis trinii,8,15,3,45
Ailanthus altissima,14,28,6,40
Ailanthus excelsa,20,40,4,47
Ailanthus grandis,30,38,4,42
Albizia adianthifolia,22,28,15,34
Albizia chevalieri,24,30,18,35
Albizia chinensis,22,32,15,45
Albizia lophantha,18,26,10,32
Albizia lucida,20,34,6,42
Albizia odoratissima,24,37,5,48
Albizia pullenii,24,30,20,34
Albizia toona,22,32,12,37
Allium chinense,15,26,8,35
Alnus acuminata,15,28,4,34
Alnus japonica,18,32,4,36
Alnus nepalensis,15,28,4,36
Alnus rubra,17,32,4,45
Aloe arborescens,18,26,9,38
Aloe barbadensis,19,27,10,35
Aloe ferox,18,26,10,30
Aloe perryi,22,27,12,31
Alopecurus arundinaceus,9,18,2,15
Alopecurus geniculatus,10,15,6,22
Alopecurus pratensis,9,22,2,32
Aloysia triphylla,18,28,14,33
Alpinia galanga,27,32,20,36
Alpinia officinarum,19,27,15,36
Altingia excelsa,20,32,10,40
Alysicarpus rugosus,22,30,18,36
Alysicarpus vaginalis,22,30,15,35
Amaranthus hybridus,12,30,8,35
Amaranthus hypochondriacus,19,23,10,32
Aronia alnifolia,15,20,5,25
Ammandra natalia,21,26,17,30
Ammophila arenaria,9,20,2,25
Ammophila breviligulata,9,18,2,25
Andropogon gayanus,22,28,16,32
Andropogon gerardii var. gerardii,10,20,3,28
Andropogon hallii,10,20,4,30
Angelica archangelica,5,19,2,22
Angophora costata,18,28,10,38
Angophora floribunda,18,30,7,41
Anisoptera scaphula,20,33,15,38
Annona atemoya,24,28,12,32
Annona montana,16,26,14,32
Annona scleroderma,23,26,8,32
Annona senegalensis,17,30,14,38
Anogeissus acuminata,22,32,10,43
Anogeissus latifolia,22,33,7,47
Anogeissus pendula,25,35,4,48
Anthemis nobilis,15,26,3,30
Anthephora pubescens,16,28,12,36
Anthocephalus macrophyllus,20,32,15,43
Anthocleista nobilis,22,30,14,35
Anthriscus cerefolium,7,21,4,25
Anthyllis vulneraria,14,20,6,25
Apios americana,10,20,8,30
Apium graveolens var. rapaceum,15,25,7,26
Aquilaria malaccensis,18,24,12,34
Arachis glabrata,20,28,12,35
Arachis pintoi,22,28,12,30
Araucaria angustifolia,18,23,9,27
Araucaria bidwillii,18,28,7,36
Araucaria hunsteinii,24,32,12,35
Archidendron jiringa,20,30,12,40
Archontophoenix cunningham,20,28,6,36
Arenga pinnata,22,28,16,32
Argania sideroxylon,20,30,10,35
Argyrodendron actinophyllum,18,28,8,36
Argyrodendron peralatum,20,30,15,38
Aristida adscensionis,18,28,5,35
Aristida ciliata,20,26,5,30
Aristida lanata,20,26,5,30
Aristida latifolia,22,30,10,42
Aristida obtusa,20,26,5,30
Aristida pennata,20,26,5,30
Aristida plumosa,20,26,5,30
Aristida pungens,20,26,5,30
Aristida raddiana,20,26,5,30
Armoracia rusticana,14,20,6,28
Arnica montana,8,15,5,25
Arracacia xanthorrhiza,14,21,10,28
Arrhenatherum elatius,14,25,3,30
Artemisia abrotanum,11,22,4,26
Artemisia afra,22,30,12,35
Artemisia annua,13,29,10,35
Artemisia dracunculus,12,22,4,26
Artocarpus altilis,21,33,16,40
Artocarpus chaplasha,22,32,10,40
Artocarpus hirsutus,22,32,16,38
Artocarpus integer,22,38,16,47
Artocarpus lakoocha,22,32,8,47
Arundinaria pusilla,16,28,6,32
Arundinella hirta,17,30,5,45
Asclepias tuberosa,14,24,12,30
Asparagus densiflorus,21,27,15,32
Astragalus cicer,14,25,7,30
Astragalus gummifer,15,22,7,28
Astragalus sinicus,15,25,10,28
Astrebla elymoides,25,32,15,42
Astrebla lappacea,25,32,15,42
Astrebla pectinata,23,30,15,35
Astrebla squarrosa,25,32,15,42
Astrocaryum jauari,24,28,20,32
Astrocaryum vulgare,20,28,18,30
Atalaya hemiglauca,18,39,8,44
Atherosperma moschatum,14,20,7,24
Athrotaxis selaginoides,15,22,5,28
Atriplex canescens,12,17,5,33
Atriplex confertifolia,12,30,5,50
Atriplex gardneri,12,17,5,33
Atriplex glauca,16,28,5,36
Atriplex halimus,16,28,5,36
Atriplex hortensis,12,28,3,36
Atriplex lentiformis,12,24,5,35
Atriplex nummularia,16,28,3,36
Atriplex vesicaria,16,28,6,36
Attalea cohune,22,28,15,32
Attalea funifera,22,25,18,30
Aucoumea klaineana,28,36,20,40
Avena byzantina,18,24,2,36
Avena fatau,12,20,2,30
Avena nuda,16,22,8,30
Avena sterilis,12,32,2,36
Avicennia germinans,20,30,10,35
Avicennia marina,20,34,8,39
Axonopus affinis,27,32,13,36
Axonopus scoparius,18,28,5,34
Azadirachta indica,26,40,14,46
Azanza garckeana,15,30,10,38
Azolla pinnata,20,35,15,40
Baccaurea motleyana,24,28,18,34
Baccaurea racemosa,21,28,14,34
Baccaurea ramiflora,24,28,18,34
Balanites aegyptiaca,20,35,15,41
Bambusa arundinacea,22,30,8,36
Bambusa balcooa,22,28,9,35
Bambusa blumeana,18,32,8,37
Bambusa longispiculata,22,28,9,35
Bambusa nutans,22,28,9,32
Bambusa polymorpha,22,28,9,32
Bambusa tulda,22,28,9,32
Banksia integrifolia,18,32,10,37
Baphia nitida,24,30,16,32
Bassia latifolia,20,30,8,47
Bauhinia esculenta,24,30,16,32
Bauhinia racemosa,24,36,5,47
Bauhinia rufescens,30,40,20,46
Beckmannia eruciformis,11,20,7,34
Beckmannia syzigachne,9,20,2,24
Berchemia discolor,14,30,10,38
Berrya cordifolia,26,32,20,34
Bertholletia excelsa,20,36,12,40
